product_key,product_id,product_number,product_name,category_id,category,subcategory,maintenance,product_cost,product_line,start_date,end_date
1,210,WHIT-6PK,White Bread - 6PK,BK_PC,,,,77.12,Road,2016-05-09,2021-11-26
2,211,FROZ-1KG,Frozen Berries - 1KG,FR_FO,,,,17.39,Other Sales,2017-11-19,2023-02-02
3,212,TUNA-12PK,Tuna Cans - 12PK,PN_PC,,,,43.78,Touring,2025-07-15,
4,213,CHOC-250G,Chocolate Cake - 250G,BK_CL,,,,63.02,Mountain,2025-07-01,
5,214,CHIC-EA,Chicken Breast - EA,MT_CH,Meat & Seafood,Chicken,No,41.58,Road,2014-08-23,
6,215,SUGA-2L,Sugar - 2L,PN_DR,,,,11.17,Touring,2021-01-30,
7,216,SPAG-1L,Spaghetti - 1L,PN_FO,,,,19.38,Mountain,2025-02-13,
8,217,BASM-1KG,Basmati Rice - 1KG,PN_CL,,,,62.52,Road,2022-01-23,
9,218,PAPE-250G,Paper Towels - 250G,HH_FO,,,,23.55,Road,2018-01-03,2023-11-05
10,219,SPRI-2L,Spring Water - 2L,BV_DR,,,,4.87,Mountain,2015-09-07,2008-01-18
11,220,DISH-1KG,Dish Liquid - 1KG,HH_CL,Household,Cleaning,Yes,61.23,Road,2021-06-16,
12,221,FISH-2L,Fish Fingers - 2L,FR_CH,,,,50.85,Other Sales,2017-09-29,2007-07-16
13,222,TOMA-500G,Tomatoes - 500G,PR_CL,,,,62.21,Mountain,2023-08-07,
14,223,HAND-FAMILY,Hand Soap - FAMILY,HB_CL,,,,4.83,Other Sales,2022-01-28,2027-10-31
15,224,MUES-2L,Muesli Bars - 2L,SN_DR,,,,57.36,Road,2021-07-05,2025-05-15
16,225,BAGE-1L,Bagels - 1L,BK_GR,,,,77.55,Other Sales,2023-12-07,2007-01-28
17,226,SPRI-12PK,Spring Water - 12PK,BV_CL,,,,17.17,Road,2017-06-25,2020-12-31
18,227,ICEC-500G,Ice Cream Tub - 500G,FR_CL,,,,38.42,Road,2020-07-18,
19,228,WHOL-FAMILY,Whole Milk - FAMILY,DA_CH,Dairy,Cheese,No,38.61,Mountain,2018-09-30,2019-10-30
20,229,SPRI-6PK,Spring Water - 6PK,BV_CL,,,,70.62,Touring,2013-08-02,
21,230,FROZ-250G,Frozen Pizza - 250G,FR_CH,,,,50.13,Touring,2015-01-13,
